alpha;1;2;3;4;5;6;7;8
23;9.621;9.019;10.272;9.619;(0.601, 0.652, 0.002);[123 323];60.592;31.012
24;9.828;9.213;10.493;9.826;(0.614, 0.666, 0.002);[124 324];61.006;32.113
25;10.030;9.403;10.710;10.028;(0.627, 0.679, 0.002);[125 325];61.427;33.215
26;10.229;9.589;10.922;10.227;(0.64, 0.693, 0.002);[126 326];61.853;34.317
27;10.424;9.772;11.130;10.421;(0.652, 0.706, 0.002);[127 327];62.286;35.420
28;10.615;9.951;11.334;10.613;(0.664, 0.719, 0.003);[128 328];62.725;36.524
29;10.803;10.127;11.534;10.800;(0.676, 0.731, 0.003);[129 329];63.169;37.628
30;10.988;10.301;11.732;10.985;(0.687, 0.744, 0.003);[130 330];63.619;38.733
31;11.169;10.471;11.925;11.167;(0.699, 0.756, 0.003);[131 331];64.075;39.838
32;11.348;10.638;12.116;11.345;(0.71, 0.768, 0.003);[132 332];64.536;40.943
33;11.524;10.803;12.304;11.521;(0.721, 0.78, 0.003);[133 333];65.003;42.049
34;11.697;10.966;12.489;11.694;(0.732, 0.792, 0.003);[134 334];65.474;43.155
35;11.868;11.126;12.671;11.865;(0.742, 0.803, 0.003);[135 335];65.951;44.261
36;12.036;11.283;12.851;12.033;(0.753, 0.815, 0.003);[136 336];66.433;45.368
37;12.202;11.439;13.028;12.199;(0.763, 0.826, 0.003);[137 337];66.919;46.475
38;12.366;11.593;13.203;12.363;(0.774, 0.837, 0.003);[138 338];67.411;47.582
39;12.528;11.744;13.376;12.525;(0.784, 0.848, 0.003);[139 339];67.907;48.690
40;12.687;11.894;13.546;12.684;(0.794, 0.859, 0.003);[140 340];68.407;49.797
41;12.845;12.042;13.714;12.842;(0.804, 0.869, 0.003);[141 341];68.912;50.905
42;13.001;12.187;13.881;12.997;(0.813, 0.88, 0.003);[142 342];69.422;52.013
43;13.155;12.332;14.045;13.151;(0.823, 0.89, 0.003);[143 343];69.936;53.121
44;13.307;12.474;14.207;13.303;(0.832, 0.901, 0.004);[144 344];70.454;54.229
45;13.457;12.615;14.368;13.454;(0.842, 0.911, 0.004);[145 345];70.977;55.338
46;13.606;12.755;14.527;13.602;(0.851, 0.921, 0.004);[146 346];71.503;56.446
47;13.753;12.892;14.684;13.749;(0.86, 0.931, 0.004);[147 347];72.034;57.554
48;13.898;13.029;14.839;13.895;(0.87, 0.941, 0.004);[148 348];72.569;58.663
49;14.042;13.164;14.993;14.039;(0.879, 0.95, 0.004);[149 349];73.107;59.771
50;14.185;13.298;15.145;14.181;(0.887, 0.96, 0.004);[150 350];73.650;60.880
51;14.326;13.430;15.296;14.322;(0.896, 0.969, 0.004);[151 351];74.196;61.988
52;14.466;13.561;15.445;14.462;(0.905, 0.979, 0.004);[152 352];74.746;63.097
53;14.604;13.691;15.593;14.600;(0.914, 0.988, 0.004);[153 353];75.300;64.205
54;14.742;13.819;15.739;14.737;(0.922, 0.998, 0.004);[154 354];75.857;65.314
55;14.877;13.947;15.884;14.873;(0.931, 1.007, 0.004);[155 355];76.418;66.422
56;15.012;14.073;16.028;15.008;(0.939, 1.016, 0.004);[156 356];76.983;67.531
57;15.145;14.198;16.170;15.141;(0.948, 1.025, 0.004);[157 357];77.551;68.639
58;15.278;14.322;16.312;15.274;(0.956, 1.034, 0.004);[158 358];78.122;69.748
59;15.409;14.445;16.452;15.405;(0.964, 1.043, 0.004);[159 359];78.697;70.856
60;15.539;14.567;16.590;15.535;(0.972, 1.051, 0.004);[160 360];79.275;71.964
61;15.668;14.688;16.728;15.664;(0.98, 1.06, 0.004);[161 361];79.857;73.072
62;15.796;14.807;16.865;15.791;(0.988, 1.069, 0.004);[162 362];80.442;74.180
63;15.923;14.926;17.000;15.918;(0.996, 1.077, 0.004);[163 363];81.030;75.288
64;16.049;15.044;17.134;16.044;(1.004, 1.086, 0.004);[164 364];81.621;76.396
65;16.173;15.161;17.268;16.169;(1.012, 1.094, 0.004);[165 365];82.215;77.503
66;16.297;15.278;17.400;16.293;(1.02, 1.103, 0.005);[166 366];82.813;78.611
67;16.420;15.393;17.531;16.416;(1.027, 1.111, 0.005);[167 367];83.413;79.718
68;16.542;15.507;17.662;16.538;(1.035, 1.119, 0.005);[168 368];84.017;80.826
69;16.664;15.621;17.791;16.659;(1.043, 1.128, 0.005);[169 369];84.623;81.933
70;16.784;15.734;17.920;16.779;(1.05, 1.136, 0.005);[170 370];85.233;83.040
71;16.903;15.846;18.047;16.899;(1.058, 1.144, 0.005);[171 371];85.845;84.147
72;17.022;15.957;18.174;17.017;(1.065, 1.152, 0.005);[172 372];86.460;85.253
73;17.140;16.067;18.300;17.135;(1.072, 1.16, 0.005);[173 373];87.078;86.360
74;17.257;16.177;18.425;17.252;(1.08, 1.168, 0.005);[174 374];87.699;87.466
75;17.373;16.286;18.549;17.368;(1.087, 1.176, 0.005);[175 375];88.323;88.572
76;17.488;16.394;18.672;17.484;(1.094, 1.183, 0.005);[176 376];88.949;89.678
77;17.603;16.502;18.794;17.598;(1.101, 1.191, 0.005);[177 377];89.578;90.784
78;17.717;16.608;18.916;17.712;(1.109, 1.199, 0.005);[178 378];90.210;91.890
79;17.830;16.715;19.037;17.825;(1.116, 1.206, 0.005);[179 379];90.844;92.995
80;17.943;16.820;19.157;17.938;(1.123, 1.214, 0.005);[180 380];91.481;94.100
81;18.055;16.925;19.276;18.050;(1.13, 1.222, 0.005);[181 381];92.121;95.205
82;18.166;17.029;19.395;18.161;(1.137, 1.229, 0.005);[182 382];92.763;96.310
